213	228
161286	213	226
163465	213	227
163648	213	227
164139	212	227
164177	213	227
164204	213	227
164214	213	227
164256	212	227
164257	212	227
164274	213	227
164275	212	227
164276	212	227
164291	212	227
164292	212	227
164311	213	227
164312	213	227
164313	213	227
164314	213	227
164315	212	227
164316	213	227
164353	212	227
164367	212	227
164393	213	227
166364	157	6
166365	320	38
166366	253	6
166367	381	70
166368	253	6
166369	381	6
167520	213	226
168150	213	226
168509	1	3999
169339	213	226
169530	213	226
170314	213	226
172007	213	226
173769	213	226
174619	213	225
174985	213	225
175738	213	1
176405	213	225
177423	214	228
177906	212	228
179129	213	226
180152	213	226
180204	213	226
180321	212	228
180510	212	228
180511	212	228
180512	212	228
181141	212	228
181144	212	228
181809	213	225
182054	213	226
183103	213	226
184471	213	227
187511	213	229
187513	213	229
187567	213	229
187613	213	229
187614	213	229
188201	213	3999
188839	213	227
189288	213	227
189504	213	227
190540	213	227
190913	212	228 // error
193020	213	227
194371	213	227
195385	212	227
195486	213	227
196137	213	229
197170	213	0
197781	213	227
197957	213	229
202031	213	226
202853	213	226
204271	213	226
204296	213	226
204776	214	228
205221	213	227
205226	213	227
205227	213	227
205228	213	227
205328	213	227
205400	213	227
205417	213	227
205419	213	227
205420	213	227
205456	213	227
205457	213	227
205458	213	227
205459	213	227
205542	213	227
205583	213	227
205585	213	227
205586	213	227
205587	213	227
205588	213	227
205629	213	227
205630	213	227
205672	213	227
205673	213	227
205689	214	228
205712	213	227
205713	213	227
205714	213	227
205795	213	227
205796	213	227
205797	213	227
205798	213	227
205799	213	227
205839	213	227
205840	213	227
205841	213	227
205879	213	227
205880	213	227
205881	213	227
205882	213	227
205883	213	227
205884	213	227
205885	213	227
205921	213	227
205922	213	227
205923	213	227
205925	213	227
205926	213	227
205964	213	227
205965	213	227
205966	213	227
205967	213	227
206004	213	227
206007	213	227
206008	213	227
206009	213	227
206010	213	227
206011	213	227
206047	213	227
206048	213	227
206049	213	227
206050	213	227
206051	213	227
206090	213	227
206091	213	227
206092	213	227
206093	213	227
206094	213	227
206095	213	227
206133	213	227
206134	213	227
206135	213	227
206136	213	227
206137	213	227
206175	213	227
206176	213	227
206177	213	227
206218	213	227
206219	213	227
206220	213	227
206260	213	227
206262	213	227
206263	213	227
206264	213	227
206265	213	227
206266	213	227
206302	213	227
206303	213	227
206304	213	227
206305	213	227
206306	213	227
206307	213	227
206308	213	227
206309	213	227
206310	213	227
