instrArray[0] = 1, secondInstrArray[0] = 1
instrArray[1] = 1, secondInstrArray[1] = 0
instrArray[2] = 1, secondInstrArray[2] = 0
instrArray[3] = 1, secondInstrArray[3] = 0
instrArray[4] = 1, secondInstrArray[4] = 1
instrArray[5] = 1, secondInstrArray[5] = 1
instrArray[6] = 1, secondInstrArray[6] = 1
instrArray[7] = 1, secondInstrArray[7] = 1
instrArray[8] = 1, secondInstrArray[8] = 1
instrArray[9] = 1, secondInstrArray[9] = 1
instrArray[10] = 1, secondInstrArray[10] = 1
instrArray[11] = 1, secondInstrArray[11] = 1
instrArray[12] = 1, secondInstrArray[12] = 1
instrArray[13] = 1, secondInstrArray[13] = 1
instrArray[14] = 1, secondInstrArray[14] = 1
instrArray[15] = 1, secondInstrArray[15] = 1
instrArray[16] = 1, secondInstrArray[16] = 1
instrArray[17] = 1, secondInstrArray[17] = 1
instrArray[18] = 1, secondInstrArray[18] = 1
instrArray[19] = 1, secondInstrArray[19] = 1
instrArray[20] = 1, secondInstrArray[20] = 1
instrArray[21] = 1, secondInstrArray[21] = 1
instrArray[22] = 1, secondInstrArray[22] = 1
instrArray[23] = 1, secondInstrArray[23] = 1
instrArray[24] = 1, secondInstrArray[24] = 1
instrArray[25] = 1, secondInstrArray[25] = 1
instrArray[26] = 1, secondInstrArray[26] = 1
instrArray[27] = 1, secondInstrArray[27] = 1
instrArray[28] = 1, secondInstrArray[28] = 1
instrArray[29] = 1, secondInstrArray[29] = 1
instrArray[30] = 1, secondInstrArray[30] = 1
instrArray[31] = 1, secondInstrArray[31] = 1
instrArray[32] = 1, secondInstrArray[32] = 1
instrArray[33] = 1, secondInstrArray[33] = 1
instrArray[34] = 1, secondInstrArray[34] = 1
instrArray[35] = 1, secondInstrArray[35] = 1
instrArray[36] = 1, secondInstrArray[36] = 1
instrArray[37] = 1, secondInstrArray[37] = 1
instrArray[38] = 1, secondInstrArray[38] = 1
instrArray[39] = 1, secondInstrArray[39] = 1
instrArray[40] = 1, secondInstrArray[40] = 1
instrArray[41] = 1, secondInstrArray[41] = 1
instrArray[42] = 1, secondInstrArray[42] = 1
instrArray[43] = 0, secondInstrArray[43] = 1
instrArray[44] = 1, secondInstrArray[44] = 1
instrArray[45] = 1, secondInstrArray[45] = 1
instrArray[46] = 1, secondInstrArray[46] = 1
instrArray[47] = 1, secondInstrArray[47] = 1
instrArray[48] = 1, secondInstrArray[48] = 1
instrArray[49] = 1, secondInstrArray[49] = 1
instrArray[50] = 1, secondInstrArray[50] = 0
instrArray[51] = 1, secondInstrArray[51] = 0
instrArray[52] = 1, secondInstrArray[52] = 0
